Question,Event Category,Region,City
What stresses you out the most,College,Rhode Island,Newport
What stresses you out the most,College,Minnesota,Eden Prairie
What stresses you out the most,College,Arizona,Phoenix
What stresses you out the most,College,Indiana,Brazil
What stresses you out the most,College,Tennessee,(not set)
What stresses you out the most,College,Montana,Missoula
What stresses you out the most,College,Illinois,Centralia
What stresses you out the most,College,Wisconsin,Waukesha
What stresses you out the most,College,Utah,Price
What stresses you out the most,College,Idaho,Saint Maries
What stresses you out the most,College,Maryland,Fort Meade
What stresses you out the most,College,Virginia,Virginia Beach
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Colorado,Parker
What stresses you out the most,College,Florida,Belle Glade
What stresses you out the most,College,Pennsylvania,Knox
What stresses you out the most,College,Maryland,Easton
What stresses you out the most,College,Pennsylvania,California
What stresses you out the most,College,Georgia,Trenton
What stresses you out the most,College,Oregon,Portland
What stresses you out the most,College,Colorado,Westminster
What stresses you out the most,College,California,Norwalk
What stresses you out the most,College,West Virginia,Parkersburg
What stresses you out the most,College,Texas,San Antonio
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Massachusetts,Ashland
What stresses you out the most,College,Mississippi,Vicksburg
What stresses you out the most,College,Ohio,Lancaster
What stresses you out the most,College,Wisconsin,Tomahawk
What stresses you out the most,College,Minnesota,Minneapolis
What stresses you out the most,College,Vermont,(not set)
What stresses you out the most,College,California,Lancaster
What stresses you out the most,College,North Dakota,Bismarck
What stresses you out the most,College,South Carolina,Walterboro
What stresses you out the most,College,North Carolina,(not set)
What stresses you out the most,College,Wisconsin,Cornell
What stresses you out the most,College,Arizona,Casa Grande
What stresses you out the most,College,Florida,The Hammocks
What stresses you out the most,College,Florida,Fort Lauderdale
What stresses you out the most,College,Rhode Island,Middletown
What stresses you out the most,College,New Hampshire,Jaffrey
What stresses you out the most,College,Connecticut,Westport
What stresses you out the most,College,Michigan,Detroit
What stresses you out the most,College,Arizona,Goodyear
What stresses you out the most,College,Florida,Miami Beach
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,Colorado,Canon City
What stresses you out the most,College,Missouri,Saint Joseph
What stresses you out the most,College,Texas,Mission
What stresses you out the most,College,Illinois,Bloomington
What stresses you out the most,College,District of Columbia,Washington
What stresses you out the most,College,Iowa,Gowrie
What stresses you out the most,College,Mississippi,(not set)
What stresses you out the most,College,Kansas,Scott City
What stresses you out the most,College,Colorado,Loveland
What stresses you out the most,College,Montana,Kalispell
What stresses you out the most,College,Wisconsin,Mosinee
What stresses you out the most,College,Illinois,Zion
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Arkansas,Lincoln
What stresses you out the most,College,Texas,North Richland Hills
What stresses you out the most,College,Oklahoma,Ardmore
What stresses you out the most,College,Pennsylvania,Norristown
What stresses you out the most,College,Idaho,Boise
What stresses you out the most,College,Arkansas,Marmaduke
What stresses you out the most,College,Idaho,Boise
What stresses you out the most,College,Kansas,Wichita
What stresses you out the most,College,Florida,Tallahassee
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Minnesota,Marshall
What stresses you out the most,College,West Virginia,White Sulphur Springs
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,California,Long Beach
What stresses you out the most,College,Maryland,Baltimore
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Oregon,Eugene
What stresses you out the most,College,Wisconsin,Madison
What stresses you out the most,College,Minnesota,Minneapolis
What stresses you out the most,College,Georgia,LaGrange
What stresses you out the most,College,Virginia,Blacksburg
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Arizona,Tucson
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Iowa,Cedar Rapids
What stresses you out the most,College,Ohio,Englewood
What stresses you out the most,College,Florida,Orlando
What stresses you out the most,College,Texas,San Angelo
What stresses you out the most,College,Missouri,Osage Beach
What stresses you out the most,College,Missouri,Hamilton
What stresses you out the most,College,Arizona,Tucson
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Virginia,Woodlake
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Oklahoma,Elgin
What stresses you out the most,College,California,Daly City
What stresses you out the most,College,Georgia,Warner Robins
What stresses you out the most,College,Pennsylvania,Carlisle
What stresses you out the most,College,Minnesota,Minneapolis
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Arizona,Show Low
What stresses you out the most,College,North Carolina,Charlotte
What stresses you out the most,College,Washington,Seattle
What stresses you out the most,College,Tennessee,Clarksville
What stresses you out the most,College,New Jersey,Scotch Plains
What stresses you out the most,College,Louisiana,(not set)
What stresses you out the most,College,Indiana,Indianapolis
What stresses you out the most,College,Ohio,Huber Heights
What stresses you out the most,College,New Mexico,Albuquerque
What stresses you out the most,College,North Dakota,Belcourt
What stresses you out the most,College,California,Los Angeles
What stresses you out the most,College,Maryland,Rockville
What stresses you out the most,College,California,Compton
What stresses you out the most,College,Florida,Coral Springs
What stresses you out the most,College,Washington,Seattle
What stresses you out the most,College,Indiana,Logansport
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Wisconsin,Portage
What stresses you out the most,College,Oklahoma,Oklahoma City
What stresses you out the most,College,North Carolina,Hendersonville
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Arizona,Scottsdale
What stresses you out the most,College,Alabama,Birmingham
What stresses you out the most,College,Georgia,Snellville
What stresses you out the most,College,California,Tustin
What stresses you out the most,College,Florida,Sarasota
What stresses you out the most,College,Oklahoma,Oklahoma City
What stresses you out the most,College,Florida,Jacksonville
What stresses you out the most,College,Arkansas,Jonesboro
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Idaho,Jerome
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Oklahoma,Oklahoma City
What stresses you out the most,College,Nevada,(not set)
What stresses you out the most,College,South Dakota,Milbank
What stresses you out the most,College,North Dakota,Fargo
What stresses you out the most,College,Missouri,Farmington
What stresses you out the most,College,New Jersey,Pennsauken Township
What stresses you out the most,College,Pennsylvania,Brodheadsville
What stresses you out the most,College,Indiana,Crawfordsville
What stresses you out the most,College,Kansas,Garden City
What stresses you out the most,College,New York,Coram
What stresses you out the most,College,New York,Hyde Park
What stresses you out the most,College,Pennsylvania,Vandergrift
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,Oklahoma,Oklahoma City
What stresses you out the most,College,Colorado,Black Forest
What stresses you out the most,College,Virginia,Ashburn
What stresses you out the most,College,Wisconsin,Arcadia
What stresses you out the most,College,Maryland,Rockville
What stresses you out the most,College,North Dakota,Belcourt
What stresses you out the most,College,Maryland,Saint Charles
What stresses you out the most,College,Tennessee,(not set)
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Texas,San Antonio
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Louisiana,Kinder
What stresses you out the most,College,Wisconsin,Marinette
What stresses you out the most,College,Oklahoma,Tahlequah
What stresses you out the most,College,Florida,Miramar
What stresses you out the most,College,Arizona,Show Low
What stresses you out the most,College,(not set),(not set)
What stresses you out the most,College,Virginia,Danville
What stresses you out the most,College,Hawaii,Honolulu
What stresses you out the most,College,Oregon,Portland
What stresses you out the most,College,Virginia,Blacksburg
What stresses you out the most,College,Kansas,Wathena
What stresses you out the most,College,Arizona,Sahuarita
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,New York,Jamestown
What stresses you out the most,College,Tennessee,Nashville
What stresses you out the most,College,Florida,Pembroke Pines
What stresses you out the most,College,Michigan,Manchester
What stresses you out the most,College,Florida,Doral
What stresses you out the most,College,Florida,Tampa
What stresses you out the most,College,Tennessee,Nashville
What stresses you out the most,College,New Jersey,Scotch Plains
What stresses you out the most,College,Minnesota,Savage
What stresses you out the most,College,Tennessee,Winchester
What stresses you out the most,College,Vermont,South Burlington
What stresses you out the most,College,Colorado,Boulder
What stresses you out the most,College,Illinois,Rockford
What stresses you out the most,College,Ohio,Eaton
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Georgia,Grovetown
What stresses you out the most,College,Illinois,Peoria
What stresses you out the most,College,Florida,Gainesville
What stresses you out the most,College,Arizona,Tucson
What stresses you out the most,College,New Hampshire,Salem
What stresses you out the most,College,North Carolina,(not set)
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Oregon,Eugene
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Illinois,Woodstock
What stresses you out the most,College,Texas,Wichita Falls
What stresses you out the most,College,Vermont,Rutland
What stresses you out the most,College,Nevada,(not set)
What stresses you out the most,College,New York,Ridge
What stresses you out the most,College,Missouri,Benton
What stresses you out the most,College,Illinois,Collinsville
What stresses you out the most,College,Texas,El Paso
What stresses you out the most,College,Michigan,Monroe
What stresses you out the most,College,New York,Gloversville
What stresses you out the most,College,New York,Plattsburgh
What stresses you out the most,College,Oklahoma,Skiatook
What stresses you out the most,College,Ohio,Englewood
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Maine,Pittsfield
What stresses you out the most,College,Maryland,Rockville
What stresses you out the most,College,Ohio,Columbus
What stresses you out the most,College,Oklahoma,Oklahoma City
What stresses you out the most,College,New York,Westmere
What stresses you out the most,College,Washington,Everett
What stresses you out the most,College,Minnesota,Minneapolis
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,North Carolina,Gastonia
What stresses you out the most,College,Iowa,Des Moines
What stresses you out the most,College,Florida,Greenacres
What stresses you out the most,College,Texas,Georgetown
What stresses you out the most,College,Washington,Seattle
What stresses you out the most,College,Kentucky,Lexington
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Indiana,Batesville
What stresses you out the most,College,Pennsylvania,Altoona
What stresses you out the most,College,Massachusetts,Springfield
What stresses you out the most,College,Virginia,Newport News
What stresses you out the most,College,Texas,Austin
What stresses you out the most,College,District of Columbia,Washington
What stresses you out the most,College,Ohio,Cincinnati
What stresses you out the most,College,Colorado,Steamboat Springs
What stresses you out the most,College,Pennsylvania,Millersburg
What stresses you out the most,College,Tennessee,Memphis
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,New York,Ithaca
What stresses you out the most,College,California,San Jose
What stresses you out the most,College,Florida,Greenacres
What stresses you out the most,College,Alabama,Birmingham
What stresses you out the most,College,Missouri,St. Louis
What stresses you out the most,College,Florida,Tampa
What stresses you out the most,College,Maryland,Silver Spring
What stresses you out the most,College,Utah,Salt Lake City
What stresses you out the most,College,Alabama,Cullman
What stresses you out the most,College,Colorado,Denver
What stresses you out the most,College,Oklahoma,McAlester
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Wisconsin,New London
What stresses you out the most,College,Florida,Orlando
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Missouri,Jackson
What stresses you out the most,College,Missouri,Springfield
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Colorado,Centennial
What stresses you out the most,College,Colorado,Ken Caryl
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Colorado,Denver
What stresses you out the most,College,Missouri,Oakville
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Washington,Spanaway
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,California,Sanger
What stresses you out the most,College,North Carolina,Charlotte
What stresses you out the most,College,Idaho,Boise
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,California,Alhambra
What stresses you out the most,College,Arizona,Tucson
What stresses you out the most,College,New Jersey,Parsippany-Troy Hills
What stresses you out the most,College,North Carolina,Newton
What stresses you out the most,College,Ohio,Grove City
What stresses you out the most,College,Texas,El Paso
What stresses you out the most,College,Iowa,(not set)
What stresses you out the most,College,Virginia,Burke
What stresses you out the most,College,Nebraska,Bellevue
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Louisiana,Metairie
What stresses you out the most,College,Colorado,Boulder
What stresses you out the most,College,Washington,Kennewick
What stresses you out the most,College,Louisiana,New Orleans
What stresses you out the most,College,Missouri,Linn
What stresses you out the most,College,Ohio,Hicksville
What stresses you out the most,College,Utah,Roy
What stresses you out the most,College,California,Riverside
What stresses you out the most,College,Ohio,Cambridge
What stresses you out the most,College,North Carolina,Kill Devil Hills
What stresses you out the most,College,Ohio,New Lebanon
What stresses you out the most,College,Alabama,Hoover
What stresses you out the most,College,Washington,Seattle
What stresses you out the most,College,Idaho,Meridian
What stresses you out the most,College,Pennsylvania,Amity Gardens
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Connecticut,Hartford
What stresses you out the most,College,Kentucky,Albany
What stresses you out the most,College,Florida,Key Largo
What stresses you out the most,College,Florida,Doral
What stresses you out the most,College,Washington,Fife
What stresses you out the most,College,Oklahoma,Skiatook
What stresses you out the most,College,Colorado,Gunnison
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Oregon,Gold Beach
What stresses you out the most,College,Pennsylvania,Reading
What stresses you out the most,College,Alabama,Dothan
What stresses you out the most,College,Oklahoma,Oklahoma City
What stresses you out the most,College,California,Los Angeles
What stresses you out the most,College,Arizona,Phoenix
What stresses you out the most,College,West Virginia,Clarksburg
What stresses you out the most,College,Utah,South Jordan
What stresses you out the most,College,Wisconsin,Greenfield
What stresses you out the most,College,Florida,Tamarac
What stresses you out the most,College,Massachusetts,Oxford
What stresses you out the most,College,Ohio,Brookville
What stresses you out the most,College,Oklahoma,Muskogee
What stresses you out the most,College,Minnesota,Plymouth
What stresses you out the most,College,Nebraska,Bellevue
What stresses you out the most,College,Florida,Orlando
What stresses you out the most,College,Colorado,Trinidad
What stresses you out the most,College,Missouri,Springfield
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Georgia,Albany
What stresses you out the most,College,Florida,West Palm Beach
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Florida,Miami Gardens
What stresses you out the most,College,Washington,Seattle
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Kentucky,Winchester
What stresses you out the most,College,Florida,Bee Ridge
What stresses you out the most,College,Arkansas,Siloam Springs
What stresses you out the most,College,North Carolina,Greenville
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Arkansas,Little Rock
What stresses you out the most,College,Pennsylvania,Lansdale
What stresses you out the most,College,Missouri,St. Louis
What stresses you out the most,College,Texas,Austin
What stresses you out the most,College,California,Los Angeles
What stresses you out the most,College,Florida,Spring Hill
What stresses you out the most,College,Indiana,Decatur
What stresses you out the most,College,Utah,Salt Lake City
What stresses you out the most,College,Florida,Alachua
What stresses you out the most,College,Pennsylvania,Kane
What stresses you out the most,College,Ohio,Trotwood
What stresses you out the most,College,Vermont,Northfield
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Maryland,Frostburg
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Florida,High Springs
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Indiana,Lafayette
What stresses you out the most,College,North Dakota,Watford City
What stresses you out the most,College,Arkansas,Blytheville
What stresses you out the most,College,Florida,Homestead
What stresses you out the most,College,Ohio,Caldwell
What stresses you out the most,College,Florida,Miramar
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Texas,San Antonio
What stresses you out the most,College,California,Fresno
What stresses you out the most,College,Texas,San Antonio
What stresses you out the most,College,Alabama,Tuscaloosa
What stresses you out the most,College,Kansas,Wichita
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Iowa,Des Moines
What stresses you out the most,College,Nebraska,Kearney
What stresses you out the most,College,Texas,McAllen
What stresses you out the most,College,Arizona,Peoria
What stresses you out the most,College,Missouri,(not set)
What stresses you out the most,College,Missouri,St. Louis
What stresses you out the most,College,Maryland,Reisterstown
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Arizona,Phoenix
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Georgia,Tucker
What stresses you out the most,College,Maine,Ellsworth
What stresses you out the most,College,District of Columbia,Washington
What stresses you out the most,College,South Carolina,Greer
What stresses you out the most,College,Idaho,Victor
What stresses you out the most,College,Utah,Holladay
What stresses you out the most,College,Kentucky,Dry Ridge
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Connecticut,Old Lyme
What stresses you out the most,College,New Mexico,Albuquerque
What stresses you out the most,College,Alaska,Wasilla
What stresses you out the most,College,Tennessee,Nashville
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Georgia,Dawsonville
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,New York,Lake Placid
What stresses you out the most,College,Indiana,Fort Wayne
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,Pennsylvania,Lancaster
What stresses you out the most,College,Virginia,Bristol
What stresses you out the most,College,Texas,San Antonio
What stresses you out the most,College,Kansas,Hiawatha
What stresses you out the most,College,Maryland,Baltimore
What stresses you out the most,College,Louisiana,Lake Charles
What stresses you out the most,College,South Carolina,Isle of Palms
What stresses you out the most,College,Illinois,Forest Park
What stresses you out the most,College,Ohio,South Point
What stresses you out the most,College,Illinois,DeKalb
What stresses you out the most,College,Iowa,Cedar Rapids
What stresses you out the most,College,Ohio,Lima
What stresses you out the most,College,Vermont,Brattleboro
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,Florida,Tallahassee
What stresses you out the most,College,Pennsylvania,Bala Cynwyd
What stresses you out the most,College,New York,Boonville
What stresses you out the most,College,Oregon,Portland
What stresses you out the most,College,Oregon,Keizer
What stresses you out the most,College,Rhode Island,Providence
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Missouri,Clayton
What stresses you out the most,College,Virginia,Purcellville
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,Missouri,St. Peters
What stresses you out the most,College,Florida,Miramar
What stresses you out the most,College,Kentucky,Louisville
What stresses you out the most,College,Maryland,Saint Charles
What stresses you out the most,College,Tennessee,Chattanooga
What stresses you out the most,College,Texas,Richardson
What stresses you out the most,College,Florida,Freeport
What stresses you out the most,College,Wisconsin,Mequon
What stresses you out the most,College,New York,Catskill
What stresses you out the most,College,South Carolina,Dentsville
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Texas,Plano
What stresses you out the most,College,Georgia,Cumming
What stresses you out the most,College,Ohio,Dublin
What stresses you out the most,College,Maine,Lewiston
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,Pennsylvania,Wrightsville
What stresses you out the most,College,California,Victorville
What stresses you out the most,College,Ohio,Boardman
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,North Dakota,Devils Lake
What stresses you out the most,College,Pennsylvania,Reading
What stresses you out the most,College,Colorado,Denver
What stresses you out the most,College,Washington,Snoqualmie
What stresses you out the most,College,Nevada,Las Vegas
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Missouri,St. Louis
What stresses you out the most,College,Florida,Hollywood
What stresses you out the most,College,Colorado,Arvada
What stresses you out the most,College,Kentucky,Louisville
What stresses you out the most,College,California,Stockton
What stresses you out the most,College,Georgia,Roberta
What stresses you out the most,College,Colorado,(not set)
What stresses you out the most,College,Vermont,Shelburne
What stresses you out the most,College,Oklahoma,Moore
What stresses you out the most,College,Texas,Carrollton
What stresses you out the most,College,Florida,Hilliard
What stresses you out the most,College,Arizona,Tucson
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Colorado,Ken Caryl
What stresses you out the most,College,South Carolina,Charleston
What stresses you out the most,College,Texas,Milam
What stresses you out the most,College,Illinois,Sycamore
What stresses you out the most,College,New York,Wellsville
What stresses you out the most,College,California,Visalia
What stresses you out the most,College,Kentucky,Louisville
What stresses you out the most,College,Colorado,Highlands Ranch
What stresses you out the most,College,Alaska,Anchorage
What stresses you out the most,College,Vermont,South Burlington
What stresses you out the most,College,North Carolina,Greenville
What stresses you out the most,College,Oregon,Portland
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Utah,Salt Lake City
What stresses you out the most,College,New Hampshire,Nashua
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Iowa,Iowa City
What stresses you out the most,College,California,Calabasas
What stresses you out the most,College,West Virginia,(not set)
What stresses you out the most,College,Ohio,Columbus
What stresses you out the most,College,Michigan,Allendale Charter Township
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Texas,Austin
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Florida,Orlando
What stresses you out the most,College,California,Santa Clara
What stresses you out the most,College,Virginia,Ashburn
What stresses you out the most,College,District of Columbia,Washington
What stresses you out the most,College,Alabama,Dothan
What stresses you out the most,College,Pennsylvania,Philadelphia
What stresses you out the most,College,Connecticut,Branford
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,South Carolina,Summerville
What stresses you out the most,College,Illinois,Batavia
What stresses you out the most,College,Florida,Boynton Beach
What stresses you out the most,College,Ohio,Forest Park
What stresses you out the most,College,District of Columbia,Washington
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Florida,Tampa
What stresses you out the most,College,Arkansas,Greenwood
What stresses you out the most,College,Illinois,Springfield
What stresses you out the most,College,Illinois,Geneva
What stresses you out the most,College,Colorado,Erie
What stresses you out the most,College,California,Los Angeles
What stresses you out the most,College,Tennessee,Sevierville
What stresses you out the most,College,Oklahoma,Mannford
What stresses you out the most,College,Ohio,Mayfield Heights
What stresses you out the most,College,Georgia,Albany
What stresses you out the most,College,Florida,(not set)
What stresses you out the most,College,Pennsylvania,Norristown
What stresses you out the most,College,District of Columbia,Washington
What stresses you out the most,College,New Jersey,Clifton
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Maine,South Portland
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Michigan,Mancelona
What stresses you out the most,College,New York,New York
What stresses you out the most,College,Texas,Garland
What stresses you out the most,College,Illinois,Alsip
What stresses you out the most,College,New Hampshire,Keene
What stresses you out the most,College,South Dakota,Sioux Falls
What stresses you out the most,College,Massachusetts,Billerica
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Indiana,Elkhart
What stresses you out the most,College,Michigan,Interlochen
What stresses you out the most,College,Oregon,Marion
What stresses you out the most,College,North Dakota,Belcourt
What stresses you out the most,College,Mississippi,Hernando
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Colorado,Lakewood
What stresses you out the most,College,Colorado,Denver
What stresses you out the most,College,Maryland,La Plata
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,Florida,Cape Coral
What stresses you out the most,College,South Carolina,Columbia
What stresses you out the most,College,California,Pomona
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Wyoming,Cheyenne
What stresses you out the most,College,Massachusetts,Boston
What stresses you out the most,College,California,Temecula
What stresses you out the most,College,Texas,Fort Worth
What stresses you out the most,College,Mississippi,Meridian
What stresses you out the most,College,Iowa,Davenport
What stresses you out the most,College,Pennsylvania,Altoona
What stresses you out the most,College,Colorado,Denver
What stresses you out the most,College,New York,Chittenango
What stresses you out the most,College,Minnesota,Grand Meadow
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,South Carolina,Lake Wylie
What stresses you out the most,College,New Jersey,Newark
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Maryland,Pasadena
What stresses you out the most,College,Washington,Seattle
What stresses you out the most,College,Arkansas,Osceola
What stresses you out the most,College,Michigan,Detroit
What stresses you out the most,College,Illinois,Bloomington
What stresses you out the most,College,California,Monrovia
What stresses you out the most,College,Iowa,Waukon
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Idaho,Idaho Falls
What stresses you out the most,College,Wisconsin,DeForest
What stresses you out the most,College,Colorado,Loveland
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,New Jersey,Atlantic City
What stresses you out the most,College,Ohio,Wadsworth
What stresses you out the most,College,Minnesota,Minneapolis
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Texas,El Paso
What stresses you out the most,College,Texas,Houston
What stresses you out the most,College,South Carolina,Elgin
What stresses you out the most,College,Ohio,Columbus
What stresses you out the most,College,Massachusetts,Auburn
What stresses you out the most,College,Florida,Miami
What stresses you out the most,College,Florida,Kendale Lakes
What stresses you out the most,College,Alaska,Barrow
What stresses you out the most,College,Virginia,Mechanicsville
What stresses you out the most,College,Florida,Plantation
What stresses you out the most,College,Wisconsin,Beloit
What stresses you out the most,College,Texas,McKinney
What stresses you out the most,College,Texas,Plano
What stresses you out the most,College,Florida,Bayshore Gardens
What stresses you out the most,College,Kentucky,Glasgow
What stresses you out the most,College,Missouri,Park Hills
What stresses you out the most,College,Arizona,Phoenix
What stresses you out the most,College,Louisiana,River Ridge
What stresses you out the most,College,Kansas,Hays
What stresses you out the most,College,Missouri,Springfield
What stresses you out the most,College,Missouri,Saint Joseph
What stresses you out the most,College,Connecticut,East Haddam
What stresses you out the most,College,Indiana,Indianapolis
What stresses you out the most,College,California,Idyllwild
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Arizona,Phoenix
What stresses you out the most,College,Oregon,Brookings
What stresses you out the most,College,Wisconsin,Pine River
What stresses you out the most,College,Louisiana,Kenner
What stresses you out the most,College,Georgia,Warner Robins
What stresses you out the most,College,Indiana,Indianapolis
What stresses you out the most,College,Indiana,Bloomington
What stresses you out the most,College,Ohio,New Carlisle
What stresses you out the most,College,Utah,Salt Lake City
What stresses you out the most,College,Louisiana,Vidalia
What stresses you out the most,College,Arizona,Tucson
What stresses you out the most,College,Louisiana,Baton Rouge
What stresses you out the most,College,Nebraska,Omaha
What stresses you out the most,College,Kansas,Girard
What stresses you out the most,College,Georgia,Atlanta
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Minnesota,Zimmerman
What stresses you out the most,College,Georgia,Stockbridge
What stresses you out the most,College,Michigan,Roseville
What stresses you out the most,College,Florida,Deerfield Beach
What stresses you out the most,College,Massachusetts,Malden
What stresses you out the most,College,Texas,Lewisville
What stresses you out the most,College,Iowa,Carroll
What stresses you out the most,College,New York,Fairmount
What stresses you out the most,College,Kentucky,Lexington
What stresses you out the most,College,Texas,Henderson
What stresses you out the most,College,Wisconsin,Madison
What stresses you out the most,College,Ohio,Tiffin
What stresses you out the most,College,Maryland,Saint Charles
What stresses you out the most,College,Washington,Everett
What stresses you out the most,College,Illinois,Chicago
What stresses you out the most,College,Florida,Cape Coral
What stresses you out the most,College,Colorado,Parker
What stresses you out the most,College,Virginia,Bristol
What stresses you out the most,College,Colorado,Colorado Springs
What stresses you out the most,College,Georgia,Moultrie
What stresses you out the most,College,District of Columbia,Washington
What stresses you out the most,College,North Carolina,Reidsville
What stresses you out the most,College,Illinois,Evergreen Park
What stresses you out the most,College,Oregon,Portland
What stresses you out the most,College,Texas,Dallas
What stresses you out the most,College,Wisconsin,Middleton
What stresses you out the most,College,Georgia,Saint Simons Island
What stresses you out the most,College,Washington,Kennewick
What stresses you out the most,College,Ohio,Salem
What stresses you out the most,College,Tennessee,Cleveland
What stresses you out the most,College,Utah,South Jordan
What stresses you out the most,College,California,Los Angeles
What stresses you out the most,College,Tennessee,Dandridge
What stresses you out the most,College,Oklahoma,Claremore
What stresses you out the most,College,Alabama,Birmingham
What stresses you out the most,College,Illinois,Normal
